id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR15991287,"revseq_run_m2-WrGEQp_20251203113920635603","NextSeq 500",2025-12-03T11:46:34,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386393,ERS28304243
ERR15991286,"revseq_run_m2-yhE88h_20251203113920679708","NextSeq 500",2025-12-03T11:46:28,2025-12-03T16:04:59,PUBLIC,Webin-65854,ERP167225,ERX15386392,ERS28304242
ERR15991284,"revseq_run_m2-gaQkyT_20251203113920725345","NextSeq 500",2025-12-03T11:46:21,2025-12-03T16:04:41,PUBLIC,Webin-65854,ERP167225,ERX15386390,ERS28304241
ERR15991283,"revseq_run_m2-TPgies_20251203113920770987","NextSeq 500",2025-12-03T11:46:14,2025-12-03T16:04:39,PUBLIC,Webin-65854,ERP167225,ERX15386389,ERS28304240
ERR15991282,"revseq_run_m2-3qDrEd_20251203113915038428","NextSeq 500",2025-12-03T11:45:01,2025-12-03T16:04:53,PUBLIC,Webin-65854,ERP167225,ERX15386388,ERS28304239
ERR15991281,"revseq_run_m2-XEuJCy_20251203113915091561","NextSeq 500",2025-12-03T11:44:51,2025-12-03T16:04:44,PUBLIC,Webin-65854,ERP167225,ERX15386387,ERS28304238
ERR15991280,"revseq_run_m2-ZAyjrq_20251203113915138356","NextSeq 500",2025-12-03T11:44:45,2025-12-03T16:04:46,PUBLIC,Webin-65854,ERP167225,ERX15386386,ERS28304237
ERR15991279,"revseq_run_m2-mc3GSV_20251203113915184227","NextSeq 500",2025-12-03T11:44:38,2025-12-03T16:04:42,PUBLIC,Webin-65854,ERP167225,ERX15386385,ERS28304236
ERR15991278,"revseq_run_m2-CLwScw_20251203113915230528","NextSeq 500",2025-12-03T11:44:32,2025-12-03T16:04:42,PUBLIC,Webin-65854,ERP167225,ERX15386384,ERS28304235
ERR15991277,"revseq_run_m2-4UF9K6_20251203113915276513","NextSeq 500",2025-12-03T11:44:25,2025-12-03T16:04:51,PUBLIC,Webin-65854,ERP167225,ERX15386383,ERS28304234
ERR15991276,"revseq_run_m2-jtjCjd_20251203113915319957","NextSeq 500",2025-12-03T11:44:09,2025-12-03T16:04:41,PUBLIC,Webin-65854,ERP167225,ERX15386382,ERS28304233
ERR15991275,"revseq_run_m2-4Rt9sw_20251203113915362418","NextSeq 500",2025-12-03T11:44:02,2025-12-03T16:04:41,PUBLIC,Webin-65854,ERP167225,ERX15386381,ERS28304232
ERR15991274,"revseq_run_m2-3URpmc_20251203113915407706","NextSeq 500",2025-12-03T11:43:55,2025-12-03T16:04:35,PUBLIC,Webin-65854,ERP167225,ERX15386380,ERS28304231
ERR15991273,"revseq_run_m2-3MgVni_20251203113915453037","NextSeq 500",2025-12-03T11:43:49,2025-12-03T16:04:51,PUBLIC,Webin-65854,ERP167225,ERX15386379,ERS28304230
ERR15991272,"revseq_run_m2-BdtP8F_20251203113915501180","NextSeq 500",2025-12-03T11:43:42,2025-12-03T16:04:52,PUBLIC,Webin-65854,ERP167225,ERX15386378,ERS28304229
